
Test: 0

Insert: 
     Ñartesian                                  AVL
44)     0.0009093                      0.000443
45)     0.000801                      0.0004781
46)     0.0008442                      0.0004893
47)     0.0008332                      0.0004703
48)     0.0008354                      0.0004863
49)     0.0008501                      0.0004397
50)     0.0007415                      0.0004953

Test: 1

Insert: 
     Ñartesian                                  AVL
1)     0.0007967                      0.0004839
2)     0.000892                      0.0004518
3)     0.0007926                      0.0005191
4)     0.0008681                      0.0004876
5)     0.0010336                      0.0004507
6)     0.0008802                      0.0004467
7)     0.0007846                      0.0005038
8)     0.0008638                      0.0005308
9)     0.0010041                      0.0004496
10)     0.0012896                      0.0005149
11)     0.0008792                      0.0004972
12)     0.0008681                      0.0004514
13)     0.0007929                      0.000518
14)     0.0014982                      0.0005142
15)     0.0008853                      0.0004535
16)     0.0007805                      0.0005247
17)     0.000769                      0.0004892
18)     0.0009597                      0.0004603
19)     0.0018082                      0.0007106
20)     0.0008217                      0.0005065
21)     0.0008156                      0.0004962
22)     0.0008358                      0.0004496
23)     0.0008685                      0.0005105
24)     0.0008061                      0.000492
25)     0.0008677                      0.0004565
26)     0.0007591                      0.000531
27)     0.000861                      0.0004865
28)     0.0008216                      0.0004882
29)     0.000997                      0.0004541
30)     0.000779                      0.000513
31)     0.0008643                      0.0005274
32)     0.0009014                      0.0004418
33)     0.0007922                      0.0005074
34)     0.0008325                      0.0004941
35)     0.0008791                      0.0004572
36)     0.0007619                      0.0005069
37)     0.0009184                      0.0004976
38)     0.0008186                      0.0004497
39)     0.0009467                      0.0004546
40)     0.0008271                      0.000525
41)     0.0008882                      0.0005167
42)     0.0013724                      0.0004618
43)     0.0008448                      0.0005156
44)     0.0008978                      0.0005041
45)     0.0008806                      0.0004563
46)     0.000875                      0.0005125
47)     0.0009396                      0.0005094
48)     0.0008677                      0.0004615
49)     0.0008516                      0.0004561
50)     0.0013033                      0.0005148

Test: 2

Insert: 
     Ñartesian                                  AVL
1)     0.0007462                      0.0005214
2)     0.0008193                      0.0005316
3)     0.0008375                      0.0004674
4)     0.0009429                      0.0004615
5)     0.0008684                      0.0004921
6)     0.0008162                      0.0004972
7)     0.0008791                      0.0005009
8)     0.0008249                      0.0005103
9)     0.0007723                      0.0005185
10)     0.0007633                      0.0005187
11)     0.0007863                      0.0005286
12)     0.0013737                      0.0004614
13)     0.0007946                      0.0004622
14)     0.0008228                      0.0004619
15)     0.0008679                      0.0005045
16)     0.00139                      0.0005047
17)     0.000868                      0.0005395
18)     0.0008118                      0.0005467
19)     0.0008608                      0.000531
20)     0.0008213                      0.0004572
21)     0.0008108                      0.0004715
22)     0.0009259                      0.0004708
23)     0.001499                      0.0005134
24)     0.0008443                      0.0005047
25)     0.0009449                      0.0006782
26)     0.0008369                      0.000508
27)     0.0008293                      0.0005221
28)     0.000858                      0.000466
29)     0.0008736                      0.000458
30)     0.0008641                      0.0004728
31)     0.0008225                      0.0005043
32)     0.0008644                      0.0005005
33)     0.0008354                      0.0005027
34)     0.0008235                      0.0005832
35)     0.0008513                      0.0005295
36)     0.0008702                      0.0005386
37)     0.0009801                      0.0004652
38)     0.0008688                      0.0004621
39)     0.0009341                      0.000467
40)     0.0010021                      0.0005205
41)     0.0008994                      0.0005114
42)     0.0014035                      0.0005039
43)     0.0008285                      0.0005293
44)     0.0008007                      0.000513
45)     0.0011518                      0.0005155
46)     0.0008066                      0.0004617
47)     0.0008561                      0.0004512
48)     0.0008258                      0.0004615
49)     0.0008455                      0.0005086
50)     0.0011635                      0.0005173

Test: 3

Insert: 
     Ñartesian                                  AVL
1)     0.0009225                      0.0004756
2)     0.0008057                      0.0004769
3)     0.0008688                      0.0004797
4)     0.0012709                      0.0005396
5)     0.0007965                      0.0005467
6)     0.0008015                      0.0005385
7)     0.0008122                      0.0005277
8)     0.0008429                      0.0005171
9)     0.00084                      0.0005141
10)     0.0008571                      0.0005107
11)     0.000782                      0.0005118
12)     0.0008253                      0.0004783
13)     0.000849                      0.0004642
14)     0.0008685                      0.0004785
15)     0.0008303                      0.0005422
16)     0.0008425                      0.0006663
17)     0.0007663                      0.0005272
18)     0.0008667                      0.0005261
19)     0.0008226                      0.00052
20)     0.0012725                      0.0005131
21)     0.0008797                      0.0004768
22)     0.0009299                      0.0004734
23)     0.0009443                      0.000464
24)     0.0008013                      0.0005271
25)     0.0008777                      0.0005457
26)     0.000797                      0.0005318
27)     0.0009398                      0.0005272
28)     0.0009345                      0.0005356
29)     0.0008746                      0.0005087
