
Test: 0

 Remove : 
     Ñartesian                   AVL 
49)      7.69e-05              7.7e-06
50)      7.72e-05              7.5e-06

Test: 3

 Remove : 
     Ñartesian                   AVL 
1)      7.7e-05              7.5e-06
2)      7.71e-05              7.7e-06
3)      7.71e-05              7.5e-06
4)      7.68e-05              7.7e-06
5)      7.7e-05              8.1e-06
6)      7.74e-05              7.7e-06
7)      7.66e-05              7.7e-06
8)      0.0001022              1.04e-05
9)      7.65e-05              7.7e-06
10)      7.76e-05              7.6e-06
11)      7.72e-05              1.65e-05
12)      7.78e-05              7.7e-06
13)      7.73e-05              7.7e-06
14)      7.71e-05              7.6e-06
15)      7.69e-05              7.6e-06
16)      7.82e-05              7.9e-06
17)      7.75e-05              8e-06
18)      7.72e-05              7.7e-06
19)      8.45e-05              7.7e-06
20)      7.72e-05              7.5e-06
21)      8.05e-05              8e-06
22)      7.96e-05              7.8e-06
23)      0.0001198              1.59e-05
24)      7.79e-05              7.6e-06
25)      7.69e-05              7.7e-06
26)      8.24e-05              8.3e-06
27)      7.77e-05              7.8e-06
28)      8.12e-05              8.9e-06
29)      7.77e-05              7.6e-06
30)      7.76e-05              7.6e-06
31)      7.73e-05              7.7e-06
32)      8.3e-05              7.7e-06
33)      7.89e-05              9.4e-06
34)      7.71e-05              7.7e-06
35)      7.68e-05              7.8e-06
36)      7.72e-05              7.8e-06
37)      7.87e-05              7.7e-06
38)      7.74e-05              7.6e-06
39)      7.65e-05              7.8e-06
40)      7.66e-05              7.6e-06
41)      7.65e-05              8e-06
42)      7.7e-05              7.6e-06
43)      7.68e-05              7.9e-06
44)      7.95e-05              7.6e-06
45)      7.8e-05              7.7e-06
46)      7.77e-05              7.8e-06
47)      7.7e-05              7.6e-06
48)      7.73e-05              7.8e-06
49)      7.81e-05              7.8e-06
50)      0.0001727              1.71e-05

Test: 4

 Remove : 
     Ñartesian                   AVL 
1)      7.78e-05              8.2e-06
2)      8.02e-05              8.3e-06
3)      7.71e-05              7.7e-06
4)      7.7e-05              7.6e-06
5)      7.76e-05              7.5e-06
6)      9.16e-05              7.7e-06
7)      7.71e-05              7.6e-06
8)      7.65e-05              7.6e-06
9)      8.07e-05              7.8e-06
10)      7.76e-05              7.7e-06
11)      7.87e-05              7.6e-06
12)      8.28e-05              7.8e-06
13)      7.66e-05              7.6e-06
14)      7.67e-05              7.8e-06
15)      7.8e-05              7.6e-06
16)      7.78e-05              7.7e-06
17)      8e-05              7.6e-06
18)      7.64e-05              7.7e-06
19)      7.68e-05              7.6e-06
20)      7.7e-05              7.6e-06
21)      0.0001717              1.67e-05
22)      7.79e-05              7.7e-06
23)      7.73e-05              8e-06
24)      8.06e-05              7.5e-06
25)      7.64e-05              8e-06
26)      7.62e-05              7.5e-06
27)      7.73e-05              1e-05
28)      8.26e-05              1.04e-05
29)      7.72e-05              7.9e-06
30)      7.66e-05              7.5e-06
31)      0.0001727              1.67e-05
32)      7.73e-05              7.5e-06
33)      7.66e-05              7.6e-06
34)      7.65e-05              7.6e-06
35)      0.0001432              8.6e-06
36)      8.18e-05              8.2e-06
37)      7.65e-05              7.5e-06
38)      7.65e-05              7.6e-06
39)      7.74e-05              8.3e-06
40)      8.31e-05              7.6e-06
41)      7.83e-05              1.21e-05
42)      7.71e-05              7.6e-06
43)      7.75e-05              7.9e-06
44)      7.76e-05              7.6e-06
45)      7.91e-05              7.5e-06
46)      7.99e-05              8.8e-06
47)      7.7e-05              7.6e-06
48)      7.74e-05              7.6e-06
49)      7.77e-05              7.6e-06
50)      7.72e-05              7.7e-06

Test: 5

 Remove : 
     Ñartesian                   AVL 
1)      7.75e-05              7.6e-06
2)      7.68e-05              7.6e-06
3)      7.77e-05              7.7e-06
4)      7.76e-05              7.6e-06
5)      7.91e-05              7.6e-06
6)      7.78e-05              7.7e-06
7)      7.75e-05              7.7e-06
8)      7.76e-05              7.6e-06
9)      7.88e-05              7.7e-06
10)      8.41e-05              7.7e-06
11)      7.69e-05              7.7e-06
12)      7.75e-05              7.6e-06
13)      7.75e-05              7.8e-06
14)      7.96e-05              7.7e-06
15)      7.81e-05              7.6e-06
16)      7.65e-05              7.6e-06
17)      7.68e-05              7.7e-06
18)      7.68e-05              7.6e-06
19)      7.67e-05              7.8e-06
20)      7.66e-05              7.6e-06
21)      0.0001723              1.67e-05
22)      7.68e-05              7.7e-06
23)      7.77e-05              7.5e-06
24)      0.0001731              1.67e-05
25)      0.0001712              1.73e-05
26)      8.01e-05              7.7e-06
27)      0.000172              1.71e-05
28)      7.98e-05              7.6e-06
29)      8.72e-05              1.67e-05
30)      7.7e-05              7.6e-06
31)      7.65e-05              7.6e-06
32)      8.13e-05              9.5e-06
33)      7.72e-05              7.6e-06
34)      7.75e-05              7.8e-06
35)      7.67e-05              7.5e-06
36)      7.72e-05              7.6e-06
37)      7.68e-05              7.7e-06
38)      0.0001737              1.7e-05
39)      7.71e-05              7.6e-06
40)      7.76e-05              7.5e-06
41)      7.89e-05              7.5e-06
42)      7.63e-05              7.8e-06
43)      7.8e-05              7.8e-06
44)      8.16e-05              7.7e-06
45)      7.77e-05              7.7e-06
46)      7.66e-05              7.7e-06
47)      7.71e-05              7.6e-06
48)      7.91e-05              7.7e-06
49)      7.65e-05              7.6e-06
50)      7.71e-05              7.6e-06

Test: 6

 Remove : 
     Ñartesian                   AVL 
1)      7.77e-05              1.06e-05
2)      7.67e-05              7.7e-06
3)      7.8e-05              7.5e-06
4)      7.77e-05              7.6e-06
5)      7.7e-05              7.8e-06
6)      7.8e-05              7.7e-06
7)      8.06e-05              8e-06
8)      7.7e-05              7.6e-06
9)      7.77e-05              7.8e-06
10)      7.8e-05              7.6e-06
11)      7.73e-05              8e-06
12)      0.0001212              7.6e-06
13)      7.73e-05              7.6e-06
14)      7.78e-05              7.9e-06
15)      0.0001771              1.68e-05
16)      7.7e-05              7.7e-06
17)      7.71e-05              7.7e-06
18)      7.69e-05              7.6e-06
19)      7.86e-05              8e-06
