
Test: 0

Depth: 
     Ñartesian                                  AVL
34)     35                      18
35)     39                      18
36)     36                      18
37)     38                      18
38)     40                      18
39)     37                      18
40)     38                      18
41)     37                      17
42)     37                      18
43)     43                      17
44)     36                      18
45)     41                      18
46)     41                      18
47)     40                      17
48)     39                      18
49)     38                      18
50)     42                      18

Test: 7

Depth: 
     Ñartesian                                  AVL
1)     38                      18
2)     43                      18
3)     41                      18
4)     43                      18
5)     41                      18
6)     47                      18
7)     37                      18
8)     39                      18
9)     41                      18
10)     47                      18
11)     42                      18
12)     46                      18
13)     45                      18
14)     40                      18
15)     43                      18
16)     41                      18
17)     43                      18
18)     39                      18
19)     42                      18
20)     39                      18
21)     40                      18
22)     47                      18
23)     43                      18
24)     42                      18
25)     47                      18
26)     51                      18
27)     43                      18
28)     43                      18
29)     43                      18
30)     42                      18
31)     39                      18
32)     42                      18
33)     40                      18
34)     41                      18
35)     46                      18
36)     40                      18
37)     41                      18
38)     40                      18
39)     44                      18
40)     43                      18
41)     42                      18
42)     49                      18
43)     44                      18
44)     42                      18
45)     41                      18
46)     40                      18
47)     41                      18
48)     40                      18
49)     44                      18
50)     38                      18

Test: 0

Depth: 
     Ñartesian                                  AVL
1)     26                      11
2)     27                      11
3)     23                      11
4)     20                      11
5)     20                      11
6)     23                      11
7)     19                      11
8)     19                      12
9)     21                      11
10)     22                      11
11)     23                      11
12)     22                      11
13)     19                      11
14)     20                      11
15)     19                      11
16)     23                      11
17)     24                      11
18)     23                      11
19)     20                      11
20)     23                      12
21)     25                      11
22)     23                      11
23)     22                      11
24)     19                      11
25)     21                      11
26)     24                      11
27)     22                      11
28)     21                      11
29)     21                      11
30)     20                      11
31)     24                      11
32)     19                      11
33)     20                      11
34)     22                      11
35)     22                      12
36)     23                      11
37)     22                      11
38)     21                      11
39)     23                      11
40)     20                      11
41)     22                      11
42)     20                      11
43)     20                      11
44)     22                      11
45)     26                      11
46)     21                      11
47)     20                      11
48)     20                      11
49)     20                      11
50)     24                      11

Test: 1

Depth: 
     Ñartesian                                  AVL
1)     24                      12
2)     27                      13
3)     23                      12
4)     24                      12
5)     27                      12
6)     27                      12
7)     26                      12
8)     24                      13
9)     24                      13
10)     24                      12
11)     25                      13
12)     26                      12
13)     23                      12
14)     29                      12
15)     23                      13
16)     25                      13
17)     27                      13
18)     24                      12
19)     25                      12
20)     25                      12
21)     26                      12
22)     23                      13
23)     24                      12
24)     21                      12
25)     24                      12
26)     31                      13
27)     25                      12
28)     22                      12
29)     27                      12
30)     27                      12
31)     22                      12
32)     25                      13
33)     23                      12
34)     25                      13
35)     24                      12
36)     25                      12
37)     24                      12
38)     23                      13
39)     24                      12
40)     26                      13
41)     24                      12
42)     25                      12
43)     24                      12
44)     23                      12
45)     26                      12
46)     26                      13
47)     25                      13
48)     26                      12
49)     29                      12
50)     27                      12

Test: 2

Depth: 
     Ñartesian                                  AVL
1)     28                      14
2)     28                      14
3)     31                      13
4)     31                      14
5)     29                      14
6)     25                      13
7)     26                      14
8)     26                      14
9)     28                      14
10)     26                      14
11)     27                      14
12)     28                      14
13)     27                      14
14)     25                      14
15)     25                      14
16)     26                      13
17)     28                      14
18)     29                      14
19)     30                      13
20)     26                      13
21)     25                      14
22)     25                      14
23)     25                      13
24)     27                      14
25)     28                      14
26)     27                      14
27)     26                      13
28)     28                      13
29)     27                      13
30)     30                      14
31)     24                      14
32)     25                      14
33)     27                      14
34)     31                      14
35)     26                      14
36)     26                      14
37)     26                      13
38)     26                      13
39)     26                      14
40)     31                      13
41)     26                      14
42)     26                      14
43)     25                      14
44)     29                      14
45)     29                      14
46)     27                      14
47)     24                      14
48)     31                      14
49)     31                      14
50)     28                      14

Test: 3

Depth: 
     Ñartesian                                  AVL
1)     29                      15
2)     31                      15
3)     29                      15
4)     30                      15
5)     29                      15
6)     30                      15

Test: 0

Depth: 
     Ñartesian                                  AVL
1)     22                      11
2)     22                      11
3)     19                      11
4)     21                      11
5)     24                      11
6)     21                      11
7)     22                      11
8)     21                      11
9)     22                      11
10)     23                      11
11)     22                      11
12)     19                      11
13)     24                      11
14)     23                      11
15)     23                      11
16)     24                      11
17)     21                      11
18)     22                      11
19)     19                      11
20)     24                      11
21)     24                      11
22)     22                      11
23)     20                      11
24)     23                      11
25)     21                      11
26)     28                      11
27)     21                      11
28)     22                      11
29)     23                      11
30)     23                      11
31)     19                      11
32)     20                      11
33)     23                      11
34)     20                      11
35)     22                      11
36)     22                      11
37)     22                      11
38)     20                      11
39)     24                      11
40)     22                      11
41)     22                      11
42)     22                      11
43)     28                      11
44)     24                      11
45)     21                      11
46)     27                      11
47)     25                      11
48)     23                      11
49)     24                      11
50)     25                      11

Test: 1

Depth: 
     Ñartesian                                  AVL
1)     24                      13
2)     24                      12
3)     24                      12
4)     23                      12
5)     25                      12
6)     29                      12
7)     23                      12
8)     24                      12
9)     25                      12
10)     23                      12
11)     22                      12
12)     28                      12
13)     23                      12
14)     25                      12
15)     24                      12
16)     29                      12
17)     25                      12
18)     24                      12
19)     26                      12
20)     25                      13
21)     25                      12
22)     23                      12
23)     26                      13
24)     24                      12
25)     23                      13
26)     23                      12
27)     25                      12
28)     24                      13
29)     24                      12
30)     28                      13
31)     26                      12
32)     25                      12
33)     24                      12
34)     26                      12
35)     23                      12
36)     26                      12
37)     24                      13
38)     29                      12
39)     24                      13
40)     25                      12
41)     26                      12
42)     22                      12
43)     23                      12
44)     26                      13
45)     24                      13
46)     23                      12
47)     23                      13
48)     29                      12
49)     24                      13
50)     25                      12

Test: 2

Depth: 
     Ñartesian                                  AVL
1)     26                      14
2)     23                      13
3)     30                      14
4)     24                      14
5)     27                      14
6)     33                      14
7)     25                      14
8)     28                      13
9)     29                      14
10)     26                      13
11)     27                      14
12)     28                      14
13)     26                      14
14)     28                      14
15)     33                      14
16)     28                      13
17)     28                      14
18)     26                      13
19)     27                      13
20)     26                      14
21)     28                      14
22)     28                      14
23)     27                      14
24)     27                      14
25)     30                      14
26)     24                      14
27)     28                      13
28)     28                      14
29)     28                      14
30)     26                      14
31)     30                      13
32)     27                      14
33)     24                      14
34)     28                      14
35)     29                      14
36)     27                      14
37)     27                      13
38)     28                      14
39)     31                      14
40)     24                      14
41)     30                      14
42)     29                      14
43)     27                      14
44)     28                      13
45)     24                      14
46)     27                      14
