
Test: 0

Search: 
     Ñartesian                      AVL
19)     0.0001385           9.66e-05
20)     6.56e-05           5.84e-05
21)     6.19e-05           5.86e-05
22)     6.16e-05           5.85e-05
23)     6.14e-05           5.84e-05
24)     6.13e-05           6.42e-05
25)     0.0001382           9.11e-05
26)     6.16e-05           5.87e-05
27)     6.18e-05           5.82e-05
28)     6.27e-05           5.85e-05
29)     6.17e-05           6.21e-05
30)     6.18e-05           5.85e-05
31)     0.0001399           0.0001351
32)     6.23e-05           5.97e-05
33)     6.15e-05           5.85e-05
34)     6.01e-05           5.84e-05
35)     6.16e-05           5.84e-05
36)     6.31e-05           5.96e-05
37)     6.14e-05           5.82e-05
38)     6.89e-05           5.46e-05

Test: 0

Search: 
     Ñartesian                      AVL
1)     6.15e-05           0.000122
2)     6.14e-05           8.12e-05
3)     0.000185           5.8e-05
4)     6.12e-05           5.83e-05
5)     6.15e-05           5.83e-05
6)     6.28e-05           5.84e-05
7)     6.37e-05           5.97e-05
8)     6.31e-05           5.88e-05
9)     0.0001881           0.0001788
10)     0.0001419           0.0001341
11)     6.02e-05           5.85e-05
12)     6.18e-05           5.87e-05
13)     6.4e-05           5.82e-05
14)     6.17e-05           5.83e-05
15)     6.15e-05           5.85e-05
16)     6.19e-05           5.85e-05
17)     6.15e-05           5.85e-05
18)     0.0001437           0.0001315
19)     0.0001383           0.0001315
20)     0.0001085           5.83e-05
21)     6.14e-05           5.85e-05
22)     0.0001354           0.0001315
23)     0.0001925           0.0001795
24)     6.23e-05           0.0001115
25)     6.19e-05           5.85e-05
26)     0.0001651           0.0001795
27)     6.15e-05           5.84e-05
28)     6.12e-05           5.82e-05
29)     6.06e-05           5.86e-05
30)     6.15e-05           5.86e-05
31)     6.33e-05           5.97e-05
32)     6.03e-05           5.86e-05
33)     6.2e-05           5.85e-05
34)     6.15e-05           5.86e-05
35)     5.96e-05           5.87e-05
36)     0.000138           0.0001309
37)     6.42e-05           5.85e-05
38)     6.52e-05           5.85e-05
39)     0.0001849           0.0001795
40)     0.0001449           0.000132
41)     6.16e-05           5.84e-05
42)     6.18e-05           6.2e-05
43)     6.33e-05           5.97e-05
44)     6.23e-05           5.85e-05
45)     6.13e-05           5.83e-05
46)     0.0001377           0.0001309
47)     0.0001384           0.0001315
48)     6.17e-05           5.86e-05
49)     6.14e-05           5.82e-05
50)     6.17e-05           5.87e-05

Test: 1

Search: 
     Ñartesian                      AVL
1)     6.03e-05           5.83e-05
2)     0.0001338           5.98e-05
3)     6.18e-05           5.83e-05
4)     6.17e-05           5.87e-05
5)     6.16e-05           5.86e-05
6)     6.12e-05           5.82e-05
7)     6.12e-05           5.82e-05
8)     6.15e-05           5.82e-05
9)     6.05e-05           5.86e-05
10)     0.0001423           0.0001341
11)     6.16e-05           5.85e-05
12)     6.16e-05           5.85e-05
13)     6.71e-05           5.95e-05
14)     0.0001378           0.0001309
15)     6.17e-05           5.85e-05
16)     6.16e-05           6.1e-05
17)     6.14e-05           5.85e-05
18)     6.15e-05           5.84e-05
19)     6e-05           5.87e-05
20)     6.15e-05           5.83e-05
21)     6.15e-05           5.88e-05
22)     6.16e-05           5.85e-05
23)     0.0001383           0.0001315
24)     6.17e-05           5.86e-05
25)     6.12e-05           5.82e-05
26)     6.15e-05           5.83e-05
27)     6.16e-05           5.85e-05
28)     6.15e-05           5.83e-05
29)     0.0001378           0.0001309
30)     6.15e-05           5.83e-05
31)     6.17e-05           5.85e-05
32)     6.21e-05           5.86e-05
33)     6.19e-05           5.84e-05
34)     0.0001378           0.000131
35)     6.02e-05           5.89e-05
36)     0.0001384           0.0001321
37)     6.14e-05           5.84e-05
38)     0.0001378           8.31e-05
39)     6.17e-05           5.94e-05
40)     6.36e-05           5.97e-05
41)     6.26e-05           5.84e-05
42)     0.0001347           0.000131
43)     6.17e-05           5.85e-05
44)     0.0001384           0.0001315
45)     0.0001425           0.0001342
46)     6.42e-05           5.83e-05
47)     6.15e-05           5.86e-05
48)     6.35e-05           5.86e-05
49)     0.0001384           0.0001315
50)     6.15e-05           5.83e-05

Test: 2

Search: 
     Ñartesian                      AVL
1)     0.0001415           0.0001357
2)     6.28e-05           5.98e-05
3)     6.4e-05           5.93e-05
4)     6.03e-05           5.86e-05
5)     6.19e-05           5.85e-05
6)     6.17e-05           5.83e-05
7)     6.71e-05           6.83e-05
8)     0.0001406           0.0001309
9)     6.17e-05           5.86e-05
10)     0.0001347           0.0001312
11)     0.0001212           6.06e-05
12)     6.03e-05           5.83e-05
13)     0.0001398           0.0001315
14)     6.19e-05           5.82e-05
15)     0.0001383           0.0001316
16)     6.15e-05           5.84e-05
17)     6.15e-05           5.82e-05
18)     6.05e-05           5.85e-05
19)     6.14e-05           6.28e-05
20)     6.03e-05           5.86e-05
21)     6.05e-05           5.85e-05
22)     6.19e-05           6.98e-05
23)     0.0001346           9.09e-05
24)     0.0001416           0.0001314
25)     6.23e-05           5.85e-05
26)     6.16e-05           5.85e-05
27)     6.12e-05           5.82e-05
28)     6.15e-05           5.85e-05
29)     6.17e-05           5.85e-05
30)     6.16e-05           5.85e-05
31)     6.14e-05           5.82e-05
32)     6.17e-05           6.55e-05
33)     6.16e-05           5.87e-05
34)     6.17e-05           5.86e-05
35)     6e-05           5.82e-05
36)     6.16e-05           5.85e-05
37)     6.2e-05           5.67e-05
38)     6.14e-05           6.2e-05
39)     6.01e-05           5.83e-05
40)     6.15e-05           5.83e-05
41)     0.0001351           0.000256
42)     6.14e-05           5.82e-05
43)     6.16e-05           5.88e-05
44)     6.15e-05           6.03e-05
45)     6.68e-05           5.85e-05
46)     0.0001382           0.0001314
47)     6.23e-05           5.87e-05
48)     6.19e-05           5.91e-05
49)     6.75e-05           5.85e-05
50)     6.33e-05           5.97e-05

Test: 3

Search: 
     Ñartesian                      AVL
1)     6.05e-05           5.85e-05
2)     6.14e-05           5.83e-05
3)     6.02e-05           5.86e-05
4)     6.01e-05           5.83e-05
5)     0.0001642           0.0001268
6)     6.17e-05           5.85e-05
7)     0.0001383           0.0001315
8)     6.19e-05           5.85e-05
9)     0.0001386           0.000135
10)     6.18e-05           5.85e-05
11)     6.21e-05           6.17e-05
12)     0.0001404           0.0001326
13)     6.18e-05           5.85e-05
14)     0.0001168           0.000131
15)     0.0001385           0.0001318
16)     6.18e-05           5.85e-05
17)     6.18e-05           5.88e-05
18)     6e-05           5.82e-05
19)     0.0001351           0.0001315
20)     6.15e-05           5.83e-05
21)     6.47e-05           5.82e-05
22)     6.37e-05           5.83e-05
23)     6.17e-05           5.85e-05
24)     6.01e-05           5.82e-05
25)     6.21e-05           5.97e-05
26)     6.18e-05           6e-05
27)     6.15e-05           5.83e-05
28)     0.0001325           6.18e-05
29)     6.15e-05           5.83e-05
30)     0.0001346           7.91e-05
31)     6e-05           5.83e-05
32)     0.0001378           0.0001309
33)     6.22e-05           5.85e-05
34)     6.33e-05           5.97e-05
35)     6.12e-05           5.82e-05
36)     8.04e-05           5.85e-05
37)     6.15e-05           5.83e-05
38)     0.0001382           0.0001315
39)     0.0001383           0.0001315
40)     6.03e-05           5.86e-05
41)     6.14e-05           5.86e-05
42)     6.14e-05           5.85e-05
43)     6.3e-05           5.88e-05
44)     8.11e-05           5.86e-05
45)     6.34e-05           5.97e-05
46)     6.2e-05           5.86e-05
47)     6.17e-05           5.83e-05
48)     6.15e-05           6.12e-05
49)     6.21e-05           5.86e-05
50)     6.16e-05           5.85e-05

Test: 4

Search: 
     Ñartesian                      AVL
1)     6.16e-05           5.86e-05
2)     6.19e-05           5.82e-05
3)     6.12e-05           5.82e-05
4)     0.0001383           0.0001315
5)     0.0002116           0.0001327
6)     6.23e-05           5.88e-05
7)     6.18e-05           6.29e-05
8)     6.13e-05           7.58e-05
9)     6.28e-05           5.64e-05
10)     6.15e-05           5.98e-05
11)     6.22e-05           5.85e-05
12)     6.68e-05           5.84e-05
13)     6e-05           5.83e-05
14)     6.15e-05           5.85e-05
15)     6.18e-05           5.86e-05
16)     6.22e-05           8.13e-05
17)     6.16e-05           5.85e-05
18)     0.0001352           0.0001059
19)     6.54e-05           5.86e-05
20)     6.15e-05           5.83e-05
21)     6.03e-05           5.85e-05
22)     0.0001092           5.83e-05
23)     6.17e-05           5.85e-05
24)     6.2e-05           6.19e-05
25)     6.28e-05           5.87e-05
26)     6.18e-05           5.85e-05
27)     6.19e-05           5.83e-05
28)     6.04e-05           5.86e-05
29)     6.17e-05           6.07e-05
30)     6.18e-05           5.83e-05
31)     6.14e-05           5.83e-05
32)     6.03e-05           5.84e-05
33)     0.0001384           0.0001315
34)     0.0001346           0.0001309
35)     6.43e-05           5.67e-05
36)     6.28e-05           5.83e-05
37)     0.0001383           0.0001348
38)     0.0001383           0.0001314
39)     0.0001449           0.0001316
40)     6.17e-05           5.85e-05
41)     9.05e-05           5.85e-05
42)     6.18e-05           6.03e-05
43)     6.14e-05           5.85e-05
44)     6.18e-05           0.00011
45)     6.15e-05           5.82e-05
46)     6.14e-05           5.82e-05
47)     6.15e-05           5.82e-05
48)     5.97e-05           5.86e-05
49)     6.31e-05           5.97e-05
50)     0.0001415           0.000134

Test: 5

Search: 
     Ñartesian                      AVL
1)     6.2e-05           5.85e-05
2)     6.01e-05           5.83e-05
3)     6.18e-05           5.86e-05
4)     6.17e-05           5.85e-05
5)     0.0001377           0.0001311
6)     6.16e-05           5.85e-05
7)     6.16e-05           5.85e-05
8)     6.04e-05           6.02e-05
9)     6.16e-05           5.86e-05
10)     6.49e-05           5.85e-05
11)     6.17e-05           5.87e-05
12)     0.0001384           0.0001315
13)     6.16e-05           5.82e-05
14)     0.0001377           0.0001309
15)     6.01e-05           5.84e-05
16)     6.17e-05           5.85e-05
17)     0.0001387           0.0001316
18)     6.04e-05           5.86e-05
19)     6e-05           5.83e-05
20)     6.41e-05           6.17e-05
21)     6.46e-05           5.82e-05
22)     6.17e-05           5.86e-05
23)     6.14e-05           5.82e-05
24)     0.0001346           0.000131
25)     0.0001378           0.0001313
26)     6.14e-05           5.82e-05
27)     6.49e-05           5.86e-05
28)     6.15e-05           5.85e-05
29)     0.000145           0.0001341
30)     6.17e-05           5.85e-05
31)     6.05e-05           5.87e-05
32)     6.16e-05           5.85e-05
33)     0.000138           0.000131
34)     6.04e-05           5.85e-05
35)     6.14e-05           5.82e-05
36)     6.16e-05           5.85e-05
37)     6.19e-05           5.88e-05
38)     6.14e-05           5.86e-05
39)     6.03e-05           5.85e-05
40)     9.41e-05           0.0001359
41)     6.04e-05           5.85e-05
42)     6.02e-05           6.22e-05
43)     6.22e-05           6.17e-05
44)     0.0001908           0.0001787
45)     6.17e-05           5.85e-05
46)     6.84e-05           5.82e-05
47)     5.98e-05           5.83e-05
48)     6.14e-05           6.1e-05
49)     0.0001381           0.0001047
50)     0.0001359           0.0001313

Test: 6

Search: 
     Ñartesian                      AVL
1)     6.02e-05           5.85e-05
2)     6.04e-05           5.86e-05
3)     0.0001381           0.0001315
4)     6.15e-05           5.85e-05
5)     6.17e-05           5.86e-05
6)     6.15e-05           5.82e-05
7)     6.55e-05           5.87e-05
8)     6.53e-05           6.22e-05
9)     6.22e-05           5.85e-05
10)     6.14e-05           5.86e-05
11)     6.43e-05           5.84e-05
12)     6.13e-05           5.83e-05
13)     0.0001008           0.0001356
14)     6.03e-05           6.19e-05
15)     6.19e-05           6e-05
16)     5.99e-05           5.86e-05
17)     6.16e-05           6.16e-05
18)     6.14e-05           5.83e-05
19)     0.0001383           0.0001379
20)     0.0001401           0.000131
21)     6.8e-05           6.94e-05
22)     6.03e-05           5.87e-05
23)     6.17e-05           5.86e-05
24)     6.03e-05           5.85e-05
25)     0.0001436           0.0001267
26)     0.0001384           0.0001314
27)     6.17e-05           5.86e-05
28)     5.98e-05           5.82e-05
29)     6.13e-05           5.84e-05
30)     6.18e-05           5.85e-05
31)     6.17e-05           5.86e-05
32)     6.02e-05           5.86e-05
33)     6.17e-05           5.86e-05
34)     6.16e-05           5.85e-05
35)     6.2e-05           5.83e-05
36)     0.0001336           0.0001309
37)     0.0001378           0.0001347
38)     6.46e-05           5.67e-05
39)     6.03e-05           5.85e-05
40)     6.14e-05           5.83e-05
41)     0.0001384           0.0001316
42)     6.17e-05           5.85e-05
43)     0.0001389           0.0001315
44)     6.03e-05           5.85e-05
45)     6.16e-05           5.85e-05
46)     6.14e-05           6.03e-05
47)     6.24e-05           5.86e-05
48)     6.04e-05           6.46e-05
49)     0.00014           0.0001404
50)     0.0001108           6.05e-05

Test: 7

Search: 
     Ñartesian                      AVL
1)     6.17e-05           5.86e-05
2)     6.15e-05           5.83e-05
3)     6.3e-05           5.87e-05
